time;V(Net-_R1-Pad1_);V(Vcmp);
4.90638e-07;0;1.21197;
4.90643e-07;0;1.20812;
4.90648e-07;0;1.20427;
4.90653e-07;0;1.20042;
4.90658e-07;0;1.19657;
4.90663e-07;0;1.19272;
4.90668e-07;0;1.18888;
4.90673e-07;0;1.18503;
4.90678e-07;0;1.18118;
4.90683e-07;0;1.17734;
4.90688e-07;0;1.17349;
4.90693e-07;0;1.16965;
4.90698e-07;0;1.16581;
4.90703e-07;0;1.16197;
4.90708e-07;0;1.15813;
4.90713e-07;0;1.1543;
4.90718e-07;0;1.15046;
4.90723e-07;0;1.14663;
4.90728e-07;0;1.14281;
4.90733e-07;0;1.13899;
4.90738e-07;0;1.13517;
4.90743e-07;0;1.13135;
4.90748e-07;0;1.12754;
4.90753e-07;0;1.12373;
4.90758e-07;0;1.11992;
4.90763e-07;0;1.11612;
4.90768e-07;0;1.11233;
4.90773e-07;0;1.10854;
4.90778e-07;0;1.10475;
4.90783e-07;0;1.10097;
4.90788e-07;0;1.0972;
4.90793e-07;0;1.09343;
4.90798e-07;0;1.08966;
4.90803e-07;0;1.08591;
4.90808e-07;0;1.08216;
4.90813e-07;0;1.07841;
4.90818e-07;0;1.07467;
4.90823e-07;0;1.07094;
4.90828e-07;0;1.06722;
4.90833e-07;0;1.0635;
4.90838e-07;0;1.0598;
4.90843e-07;0;1.0561;
4.90848e-07;0;1.0524;
4.90853e-07;0;1.04872;
4.90858e-07;0;1.04505;
4.90863e-07;0;1.04138;
4.90868e-07;0;1.03772;
4.90873e-07;0;1.03407;
4.90878e-07;0;1.03044;
4.90883e-07;0;1.02681;
4.90888e-07;0;1.02319;
4.90893e-07;0;1.01958;
4.90898e-07;0;1.01598;
4.90903e-07;0;1.01239;
4.90908e-07;0;1.00882;
4.90913e-07;0;1.00525;
4.90918e-07;0;1.0017;
4.90923e-07;0;0.998156;
4.90928e-07;0;0.994626;
4.90933e-07;0;0.991108;
4.90938e-07;0;0.987602;
4.90943e-07;0;0.984109;
