time;V(Net-_R1-Pad1_);
2.8814e-10;0;
2.8864e-10;0;
2.8914e-10;0;
2.8964e-10;0;
2.9014e-10;0;
2.9064e-10;0;
2.9114e-10;0;
2.9164e-10;0;
2.9214e-10;0;
2.9264e-10;0;
2.9314e-10;0;
2.9364e-10;0;
2.9414e-10;0;
2.9464e-10;0;
2.9514e-10;0;
2.9564e-10;0;
2.9614e-10;0;
2.9664e-10;0;
2.9714e-10;0;
2.9764e-10;0;
2.9814e-10;0;
2.9864e-10;0;
2.9914e-10;0;
2.9964e-10;0;
3.0014e-10;0;
3.0064e-10;0;
3.0114e-10;0;
3.0164e-10;0;
3.0214e-10;0;
3.0264e-10;0;
3.0314e-10;0;
3.0364e-10;0;
3.0414e-10;0;
3.0464e-10;0;
3.0514e-10;0;
3.0564e-10;0;
3.0614e-10;0;
3.0664e-10;0;
3.0714e-10;0;
3.0764e-10;0;
3.0814e-10;0;
3.0864e-10;0;
3.0914e-10;0;
3.0964e-10;0;
3.1014e-10;0;
3.1064e-10;0;
3.1114e-10;0;
3.1164e-10;0;
3.1214e-10;0;
3.1264e-10;0;
3.1314e-10;0;
3.1364e-10;0;
3.1414e-10;0;
3.1464e-10;0;
3.1514e-10;0;
3.1564e-10;0;
3.1614e-10;0;
3.1664e-10;0;
3.1714e-10;0;
3.1764e-10;0;
3.1814e-10;0;
3.1864e-10;0;
3.1914e-10;0;
3.1964e-10;0;
3.2014e-10;0;
3.2064e-10;0;
3.2114e-10;0;
3.2164e-10;0;
3.2214e-10;0;
3.2264e-10;0;
3.2314e-10;0;
3.2364e-10;0;
3.2414e-10;0;
3.2464e-10;0;
3.2514e-10;0;
3.2564e-10;0;
3.2614e-10;0;
3.2664e-10;0;
3.2714e-10;0;
3.2764e-10;0;
3.2814e-10;0;
3.2864e-10;0;
3.2914e-10;0;
3.2964e-10;0;
3.3014e-10;0;
3.3064e-10;0;
3.3114e-10;0;
3.3164e-10;0;
3.3214e-10;0;
3.3264e-10;0;
3.3314e-10;0;
3.3364e-10;0;
3.3414e-10;0;
3.3464e-10;0;
3.3514e-10;0;
3.3564e-10;0;
3.3614e-10;0;
3.3664e-10;0;
3.3714e-10;0;
3.3764e-10;0;
3.3814e-10;0;
3.3864e-10;0;
3.3914e-10;0;
3.3964e-10;0;
3.4014e-10;0;
3.4064e-10;0;
3.4114e-10;0;
3.4164e-10;0;
3.4214e-10;0;
3.4264e-10;0;
3.4314e-10;0;
3.4364e-10;0;
3.4414e-10;0;
3.4464e-10;0;
3.4514e-10;0;
3.4564e-10;0;
3.4614e-10;0;
3.4664e-10;0;
3.4714e-10;0;
3.4764e-10;0;
3.4814e-10;0;
3.4864e-10;0;
3.4914e-10;0;
3.4964e-10;0;
3.5014e-10;0;
3.5064e-10;0;
3.5114e-10;0;
3.5164e-10;0;
3.5214e-10;0;
3.5264e-10;0;
3.5314e-10;0;
3.5364e-10;0;
3.5414e-10;0;
3.5464e-10;0;
3.5514e-10;0;
3.5564e-10;0;
3.5614e-10;0;
3.5664e-10;0;
3.5714e-10;0;
3.5764e-10;0;
3.5814e-10;0;
3.5864e-10;0;
3.5914e-10;0;
3.5964e-10;0;
3.6014e-10;0;
3.6064e-10;0;
3.6114e-10;0;
3.6164e-10;0;
3.6214e-10;0;
3.6264e-10;0;
3.6314e-10;0;
3.6364e-10;0;
3.6414e-10;0;
3.6464e-10;0;
3.6514e-10;0;
3.6564e-10;0;
3.6614e-10;0;
3.6664e-10;0;
3.6714e-10;0;
3.6764e-10;0;
3.6814e-10;0;
3.6864e-10;0;
3.6914e-10;0;
3.6964e-10;0;
3.7014e-10;0;
3.7064e-10;0;
3.7114e-10;0;
3.7164e-10;0;
3.7214e-10;0;
3.7264e-10;0;
3.7314e-10;0;
